HHH LL CC	Hue	Lightness	Chroma	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H190L30C20-P	190°	30%	20%	plastics-p2-111	
H190L30C20-P-T	190°	30%	20%	plastics-p2-112	
H190L40C20-P	190°	40%	20%	plastics-p2-113	
H190L50C20-P	190°	50%	20%	plastics-p2-114	
H190L70C20-P	190°	70%	20%	plastics-p2-115	
H200L30C33-P	200°	30%	33%	plastics-p2-116	
H200L50C45-P	200°	50%	45%	plastics-p2-117	
H200L50C45-P	200°	50%	45%	plastics-p2-118	
H200L60C35-P	200°	60%	35%	plastics-p2-119	
H200L80C10-P	200°	80%	10%	plastics-p2-120	
H210L40C20-P	210°	40%	20%	plastics-p2-121	
H210L50C20-P	210°	50%	20%	plastics-p2-122	
H210L60C30-P	210°	60%	30%	plastics-p2-123	
H210L70C35-P	210°	70%	35%	plastics-p2-124	
H210L70C35-P-T	210°	70%	35%	plastics-p2-125	
H220L30C30-P	220°	30%	30%	plastics-p2-126	
H220L40C40-P	220°	40%	40%	plastics-p2-127	
H220L40C40-P-T	220°	40%	40%	plastics-p2-128	
H220L50C40-P	220°	50%	40%	plastics-p2-129	
H220L70C35-P	220°	70%	35%	plastics-p2-130	
H230L30C25-P	230°	30%	25%	plastics-p2-131	
H230L40C20-P	230°	40%	20%	plastics-p2-132	
H230L50C30-P	230°	50%	30%	plastics-p2-133	
H230L50C30-P-T	230°	50%	30%	plastics-p2-134	
H230L70C20-P	230°	70%	20%	plastics-p2-135	
H240L20C22-P	240°	20%	22%	plastics-p2-136	
H240L30C35-P	240°	30%	35%	plastics-p2-137	
H240L60C40-P	240°	60%	40%	plastics-p2-138	
H240L60C40-P	240°	60%	40%	plastics-p2-139	
H240L80C20-P	240°	80%	20%	plastics-p2-140	
H250L30C20-P	250°	30%	20%	plastics-p2-141	
H250L50C30-P	250°	50%	30%	plastics-p2-142	
H250L50C30-P-T	250°	50%	30%	plastics-p2-143	
H250L60C30-P	250°	60%	30%	plastics-p2-144	
H250L80C20-P	250°	80%	20%	plastics-p2-145	
H260L20C20-P	260°	20%	20%	plastics-p2-146	
H260L40C45-P	260°	40%	45%	plastics-p2-147	
H260L40C45-P-T	260°	40%	45%	plastics-p2-148	
H260L50C40-P	260°	50%	40%	plastics-p2-149	
H260L80C15-P	260°	80%	15%	plastics-p2-150	
H270L30C20-P	270°	30%	20%	plastics-p2-151	
H270L30C20-P-T	270°	30%	20%	plastics-p2-152	
H270L40C20-P	270°	40%	20%	plastics-p2-153	
H270L60C20-P	270°	60%	20%	plastics-p2-154	
H270L70C10-P	270°	70%	10%	plastics-p2-155	
H280L30C40-P	280°	30%	40%	plastics-p2-156	
H280L30C40-P-T	280°	30%	40%	plastics-p2-157	
H280L40C40-P	280°	40%	40%	plastics-p2-158	
H280L50C30-P	280°	50%	30%	plastics-p2-159	
H280L80C10-P	280°	80%	10%	plastics-p2-160	
H290L30C30-P	290°	30%	30%	plastics-p2-161	
H290L30C30-P-T	290°	30%	30%	plastics-p2-162	
H290L50C30-P	290°	50%	30%	plastics-p2-163	
H290L60C20-P	290°	60%	20%	plastics-p2-164	
H290L70C10-P	290°	70%	10%	plastics-p2-165	
H300L20C30-P	300°	20%	30%	plastics-p2-166	
H300L40C40-P	300°	40%	40%	plastics-p2-167	
H300L40C40-P-T	300°	40%	40%	plastics-p2-168	
H300L70C20-P	300°	70%	20%	plastics-p2-169	
H300L90C05-P	300°	90%	5%	plastics-p2-170	
H310L40C20-P	310°	40%	20%	plastics-p2-171	
H310L50C30-P	310°	50%	30%	plastics-p2-172	
H310L50C30-P-T	310°	50%	30%	plastics-p2-173	
H310L60C20-P	310°	60%	20%	plastics-p2-174	
H310L70C10-P	310°	70%	10%	plastics-p2-175	
H320L20C20-P	320°	20%	20%	plastics-p2-176	
H320L30C37-P	320°	30%	37%	plastics-p2-177	
H320L30C37-P-T	320°	30%	37%	plastics-p2-178	
H320L50C30-P	320°	50%	30%	plastics-p2-179	
H320L80C15-P	320°	80%	15%	plastics-p2-180	
H330L30C20-P	330°	30%	20%	plastics-p2-181	
H330L50C40-P	330°	50%	40%	plastics-p2-182	
H330L50C40-P-T	330°	50%	40%	plastics-p2-183	
H330L60C20-P	330°	60%	20%	plastics-p2-184	
H330L70C10-P	330°	70%	10%	plastics-p2-185	
H340L30C38-P	340°	30%	38%	plastics-p2-186	
H340L40C45-P	340°	40%	45%	plastics-p2-187	
H340L40C45-P-T	340°	40%	45%	plastics-p2-188	
H340L60C40-P	340°	60%	40%	plastics-p2-189	
H340L80C20-P	340°	80%	20%	plastics-p2-190	
H350L20C20-P	350°	20%	20%	plastics-p2-191	
H350L40C20-P	350°	40%	20%	plastics-p2-192	
H350L50C40-P	350°	50%	40%	plastics-p2-193	
H350L50C40-P-T	350°	50%	40%	plastics-p2-194	
H350L60C20-P	350°	60%	20%	plastics-p2-195	
H360L30C15-P	360°	30%	15%	plastics-p2-196	
H360L30C30-P	360°	30%	30%	plastics-p2-197	
H360L50C40-P	360°	50%	40%	plastics-p2-198	
H360L50C40-P-T	360°	50%	40%	plastics-p2-199	
H360L70C15-P	360°	70%	15%	plastics-p2-200	
