URL	HHH LL CC
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-69.png	100 80 70-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-70.png	100 90 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-71.png	110 50 55-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-72.png	110 70 70-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-73.png	110 70 70-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-74.png	110 80 70-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-75.png	110 90 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-76.png	120 40 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-77.png	120 50 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-78.png	120 60 60-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-79.png	120 60 60-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-80.png	120 80 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-81.png	130 30 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-82.png	130 60 50-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-83.png	130 60 50-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-84.png	130 80 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-85.png	130 90 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-86.png	140 20 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-87.png	140 40 50-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-88.png	140 60 70-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-89.png	140 60 70-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-90.png	140 80 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-91.png	150 30 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-92.png	150 30 20-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-93.png	150 50 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-94.png	150 60 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-95.png	150 70 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-96.png	160 30 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-97.png	160 50 60-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-98.png	160 50 60-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-99.png	160 70 45-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-100.png	160 80 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-101.png	170 30 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-102.png	170 30 20-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-103.png	170 40 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-104.png	170 60 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-105.png	170 80 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-106.png	180 40 45-P
