Name	URL	DE	EN	FR	ES	IT	NL
RAL 6009-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-61.png	Tannengrün	Fir green	Vert sapin	Verde abeto	Verde abete	Dennengroen
RAL 6011-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-62.png	Resedagrün	Reseda green	Vert réséda	Verde reseda	Verde reseda	Resedagroen
RAL 6017-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-63.png	Maigrün	May green	Vert mai	Verde mayo	Verde maggio	Meigroen
RAL 6018-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-64.png	Gelbgrün	Yellow green	Vert jaune	Verde amarillento	Verde giallastro	Geelgroen
RAL 6019-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-65.png	Weißgrün	Pastel green	Vert blanc	Verde blanquecino	Verde biancastro	Witgroen
RAL 6024-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-66.png	Verkehrsgrün	Traffic green	Vert signalisation	Verde tráfico	Verde traffico	Verkeersgroen
RAL 6026-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-67.png	Opalgrün	Opal green	Vert opale	Verde opalo	Verde opale	Opaalgroen
RAL 6037-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-68.png	Reingrün	Pure green	Vert pur	Verde puro 	Verde puro	Zuiver groen 
RAL 7001-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-69.png	Silbergrau	Silver grey	Gris argent	Gris plata	Grigio argento	Zilvergrijs
RAL 7004-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-70.png	Signalgrau	Signal grey	Gris de sécurité	Gris señales	Grigio segnale	Signaalgrijs
RAL 7011-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-71.png	Eisengrau	Iron grey	Gris fer	Gris hierro	Grigio ferro	IJzergrijs
RAL 7012-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-72.png	Basaltgrau	Basalt grey	Gris basalte	Gris basalto	Grigio basalto	Bazaltgrijs
RAL 7015-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-73.png	Schiefergrau	Slate grey	Gris ardoise	Gris pizarra	Grigio ardesia	Leigrijs
RAL 7016-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-74.png	Anthrazitgrau	Anthracite grey	Gris anthracite	Gris antracita	Grigio antracite	Antracietgrijs
RAL 7021-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-75.png	Schwarzgrau	Black grey	Gris noir	Gris negruzco	Grigio nerastro	Zwartgrijs
RAL 7031-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-76.png	Blaugrau	Blue grey	Gris bleu	Gris azulado	Grigio bluastro	Blauwgrijs
RAL 7035-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-77.png	Lichtgrau	Light grey	Gris clair	Gris luminoso	Grigio luce	Lichtgrijs
RAL 7037-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-78.png	Staubgrau	Dusty grey	Gris poussière	Gris polvo	Grigio polvere	Stofgrijs
RAL 7038-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-79.png	Achatgrau	Agate grey	Gris agate	Gris ágata	Grigio agata	Agaatgrijs
RAL 7040-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-80.png	Fenstergrau	Window grey	Gris fenêtre	Gris ventana	Grigio finestra	Venstergrijs
RAL 7042-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-81.png	Verkehrsgrau A	Traffic grey A	Gris signalisation A	Gris tráfico A	Grigio traffico A	Verkeersgrijs A
RAL 7045-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-82.png	Telegrau 1	Telegrey 1	Telegris 1	Gris tele 1	Grigio tele 1	Telegrijs 1
RAL 8001-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-83.png	Ockerbraun	Ochre brown	Brun terre de Sienne	Pardo ocre	Marrone ocra	Okerbruin
RAL 8004-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-84.png	Kupferbraun	Copper brown	Brun cuivré	Pardo cobre	Marrone rame	Koperbruin
RAL 8007-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-85.png	Rehbraun	Fawn brown	Brun fauve	Pardo corzo	Marrone capriolo	Reebruin
RAL 8008-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-86.png	Olivbraun	Olive brown	Brun olive	Pardo oliva	Marrone oliva	Olijfbruin
RAL 8011-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-87.png	Nussbraun	Nut brown	Brun noisette	Pardo nuez	Marrone noce	Notenbruin
RAL 8014-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-88.png	Sepiabraun	Sepia brown	Brun sépia	Sepia	Marrone seppia	Sepiabruin
RAL 8015-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-89.png	Kastanienbraun	Chestnut brown	Marron	Castaño	Marrone castagna	Kastanjebruin
RAL 8017-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-90.png	Schokoladenbraun	Chocolate brown	Brun chocolat	Chocolate	Marrone cioccolata	Chocoladebruin
RAL 8023-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-91.png	Orangebraun	Orange brown	Brun orangé	Pardo anaranjado	Marrone arancio	Oranjebruin
RAL 8025-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-92.png	Blassbraun	Pale brown	Brun pâle	Pardo pálido	Marrone pallido	Bleekbruin
RAL 9001-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-93.png	Cremeweiß	Cream	Blanc crème	Blanco crema	Bianco crema	Crèmewit
RAL 9002-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-94.png	Grauweiß	Grey white	Blanc gris	Blanco grisáceo	Bianco grigiastro	Grijswit
RAL 9003-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-95.png	Signalweiß	Signal white	Blanc de sécurité	Blanco señales	Bianco segnale	Signaalwit
RAL 9010-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-96.png	Reinweiß	Pure white	Blanc pur	Blanco puro	Bianco puro	Zuiver wit
RAL 9011-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-97.png	Graphitschwarz	Graphite black	Noir graphite	Negro grafito	Nero grafite	Grafietzwart
RAL 9016-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-98.png	Verkehrsweiß	Traffic white	Blanc signalisation	Blanco tráfico	Bianco traffico	Verkeerswit
