HHHLLCC	Hue	Lightness	Chroma	DE	EN	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H190L93C05	190°	93%	5%	Ägyptischweiß	Egyptian white	designplus-1039	
H200L20C05	200°	20%	5%	Tarngrün	Concealed green	designplus-1040	
H200L20C10	200°	20%	10%	Dunkelkiefergrün	Dark pine green	designplus-1041	
H200L20C15	200°	20%	15%	Dachziegelgrün	Roof tile green	designplus-1042	
H200L20C20	200°	20%	20%	Buschgrün	Shrub green	designplus-1043	
H200L20C23	200°	20%	23%	Zollgrün	Customs green	designplus-1044	
H200L30C05	200°	30%	5%	Finsternisgrün	Darkness green	designplus-1045	
H200L30C10	200°	30%	10%	Baumrindengrün	Tree bark green	designplus-1046	
H200L30C15	200°	30%	15%	Hornblendegrün	Hornblende green	designplus-1047	
H200L30C20	200°	30%	20%	Malachitblautürkis	Malachite blue turquoise	designplus-1048	
H200L30C25	200°	30%	25%	Antiktürkis	Antique turquoise	designplus-1049	
H200L30C30	200°	30%	30%	Wolltürkis	Wool turquoise	designplus-1050	
H200L30C33	200°	30%	33%	Eisdunkeltürkis	Ice dark turquoise	designplus-1051	
H200L40C05	200°	40%	5%	Kalkspatgraugrün	Calcite grey green	designplus-1052	
H200L40C10	200°	40%	10%	Brochantitgrün	Brochantite green	designplus-1053	
H200L40C15	200°	40%	15%	Eisenkiesgrün	Pyrite green	designplus-1054	
H200L40C20	200°	40%	20%	Alpendämmerblau	Dusky alpine blue	designplus-1055	
H200L40C25	200°	40%	25%	Badgrün	Bath green	designplus-1056	
H200L40C30	200°	40%	30%	Mayablau	Mayan blue	designplus-1057	
H200L40C35	200°	40%	35%	Byzantinischblau	Byzantine blue	designplus-1058	
H200L40C40	200°	40%	40%	Aktivtürkis	Active turquoise	designplus-1059	
H200L50C05	200°	50%	5%	Nordgrau	North grey	designplus-1060	
H200L50C10	200°	50%	10%	Augengrau	Eye grey	designplus-1061	
H200L50C15	200°	50%	15%	Nickelerzgrün	Nickel ore green	designplus-1062	
H200L50C20	200°	50%	20%	Gischtgrün	Seafoam green	designplus-1063	
H200L50C25	200°	50%	25%	Kandinskytürkis	Kandinsky turquoise	designplus-1064	
H200L50C30	200°	50%	30%	Karibiktürkis	Caribbean turquoise	designplus-1065	
H200L50C35	200°	50%	35%	Brunnenblau	Well blue	designplus-1066	
H200L50C40	200°	50%	40%	Industrieblau	Industrial blue	designplus-1067	
H200L50C45	200°	50%	45%	Indiablau	India blue	designplus-1068	
H200L60C05	200°	60%	5%	Schattengrau	Shady grey	designplus-1069	
H200L60C10	200°	60%	10%	Nordkapgrau	North Cape grey	designplus-1070	
H200L60C15	200°	60%	15%	Waidindigo	Woad indigo	designplus-1071	
H200L60C20	200°	60%	20%	Jugendstiltürkis	Jugendstil turquoise	designplus-1072	
H200L60C25	200°	60%	25%	Kühlboxeistürkis	Coolbox ice turquoise	designplus-1073	
H200L60C30	200°	60%	30%	Aquamarinblau	Aquamarine blue	designplus-1074	
H200L60C35	200°	60%	35%	Arktisblau	Arctic blue	designplus-1075	
H200L60C40	200°	60%	40%	Wachsstiftblau	Wax crayon blue	designplus-1076	
H200L70C05	200°	70%	5%	Prinzengrau	Prince grey	designplus-1077	
H200L70C10	200°	70%	10%	Calcitblau	Calcite blue	designplus-1078	
H200L70C15	200°	70%	15%	Kaltfrontgrün	Cold front green	designplus-1079	
H200L70C20	200°	70%	20%	Eisvogeltürkis	Kingfisher turquoise	designplus-1080	
H200L70C25	200°	70%	25%	Frischbleu	Fresh soft blue	designplus-1081	
H200L80C05	200°	80%	5%	Chinalichtgrün	China light green	designplus-1082	
H200L80C10	200°	80%	10%	Barockkalkbleu	Baroque chalk soft blue	designplus-1083	
H200L80C15	200°	80%	15%	Eisboutiquetürkis	Ice boutique turquoise	designplus-1084	
H200L80C20	200°	80%	20%	Sommerbleu	Summer soft blue	designplus-1085	
H200L80C25	200°	80%	25%	Bergseeblau	Mountain lake blue	designplus-1086	
H200L85C05	200°	85%	5%	Bastlichtgrau	Raffia light grey	designplus-1087	
H200L85C10	200°	85%	10%	Kaltlufttürkis	Cold air turquoise	designplus-1088	
H200L85C15	200°	85%	15%	Frosthellbleu	Frosty soft blue	designplus-1089	
H200L85C20	200°	85%	20%	Eiskristallblau	Ice crystal blue	designplus-1090	
H200L90C05	200°	90%	5%	Frostgrün	Frosty green	designplus-1091	
H200L90C10	200°	90%	10%	Frostweißblau	Frosty white blue	designplus-1092	
H200L93C05	200°	93%	5%	Klirrendweiß	Chilly white	designplus-1093	
H210L30C10	210°	30%	10%	Graphitschwarzgrün	Graphite black green	designplus-1094	
H210L30C15	210°	30%	15%	Stockentenblau	Mallard blue	designplus-1095	
H210L30C20	210°	30%	20%	Transportergrün	Transporter green	designplus-1096	
H210L30C25	210°	30%	25%	Tiefatlantikblau	Deep Atlantic blue	designplus-1097	
H210L30C30	210°	30%	30%	Kaliblau	Kali blue	designplus-1098	
H210L40C10	210°	40%	10%	Leinengrau	Linen grey	designplus-1099	
H210L40C15	210°	40%	15%	Chinagrünblau	China green blue	designplus-1100	
H210L40C20	210°	40%	20%	Dämmerblau	Dusk blue	designplus-1101	
H210L40C25	210°	40%	25%	Hosenblau	Trouser blue	designplus-1102	
H210L40C30	210°	40%	30%	Indigoblau	Indigo blue	designplus-1103	
H210L40C35	210°	40%	35%	Kaltblau	Cold blue	designplus-1104	
H210L40C38	210°	40%	38%	Marienblau	Mary blue	designplus-1105	
H210L50C10	210°	50%	10%	Uniformgrüngrau	Uniform green grey	designplus-1106	
H210L50C15	210°	50%	15%	Labradoritgrün	Labradorite green	designplus-1107	
H210L50C20	210°	50%	20%	Emailleantikgrün	Enamel antique green	designplus-1108	
H210L50C25	210°	50%	25%	Cranachblau	Cranach blue	designplus-1109	
H210L50C30	210°	50%	30%	Chinablau	China blue	designplus-1110	
H210L50C35	210°	50%	35%	Gletscherblau	Glacier blue	designplus-1111	
H210L50C40	210°	50%	40%	Curaçaoblau	Curaçao blue	designplus-1112	
H210L50C45	210°	50%	45%	Atlantikblau	Atlantic blue	designplus-1113	
H210L60C10	210°	60%	10%	Aschblau	Ash blue	designplus-1114	
H210L60C15	210°	60%	15%	Baltikblau	Baltic blue	designplus-1115	
H210L60C20	210°	60%	20%	Strandblau	Beach blue	designplus-1116	
H210L60C25	210°	60%	25%	Basilikablau	Basilica blue	designplus-1117	
H210L60C30	210°	60%	30%	Donaublau	Danube blue	designplus-1118	
H210L60C35	210°	60%	35%	Altdorferhimmelblau	Altdorf sky blue	designplus-1119	
H210L60C40	210°	60%	40%	Grellblau	Garish blue	designplus-1120	
H210L70C10	210°	70%	10%	Sturmgrau	Storm grey	designplus-1121	
H210L70C15	210°	70%	15%	Persischblau	Persian blue	designplus-1122	
H210L70C20	210°	70%	20%	Aquablau	Aqua blue	designplus-1123	
H210L70C25	210°	70%	25%	Maritimbleu	Maritime soft blue	designplus-1124	
H210L70C30	210°	70%	30%	Bergblau	Mountain blue	designplus-1125	
H210L70C35	210°	70%	35%	Weitsichtblau	Panorama blue	designplus-1126	
H210L80C10	210°	80%	10%	Türkisgrau	Turquoise grey	designplus-1127	
H210L80C15	210°	80%	15%	Delphinblau	Dolphin blue	designplus-1128	
H210L80C20	210°	80%	20%	Duftblau	Aroma blue	designplus-1129	
H210L80C25	210°	80%	25%	Knallbleu	Vibrant soft blue	designplus-1130	
H210L85C05	210°	85%	5%	Siestaweiß	Siesta white	designplus-1131	
H210L85C10	210°	85%	10%	Mintblau	Mint blue	designplus-1132	
H210L85C15	210°	85%	15%	Feinblau	Fine blue	designplus-1133	
H210L85C20	210°	85%	20%	Blassblau	Pale blue	designplus-1134	
H210L90C05	210°	90%	5%	Tüllbleu	Tulle soft blue	designplus-1135	
H210L90C10	210°	90%	10%	Antarktisblau	Antarctic blue	designplus-1136	
H220L20C05	220°	20%	5%	Navyschwarz	Navy black	designplus-1137	
H220L20C10	220°	20%	10%	Indigokarmin	Indigo carmine	designplus-1138	
H220L20C15	220°	20%	15%	Künstlerblau	Artist blue	designplus-1139	
H220L20C20	220°	20%	20%	Naturindigo	Natural indigo	designplus-1140	
H220L30C05	220°	30%	5%	Pandaschwarz	Panda black	designplus-1141	
H220L30C10	220°	30%	10%	Pallasitblau	Pallasite blue	designplus-1142	
H220L30C15	220°	30%	15%	Orkangrünblau	Hurricane green blue	designplus-1143	
H220L30C20	220°	30%	20%	Aquarellblau	Watercolour blue	designplus-1144	
H220L30C25	220°	30%	25%	Korallenblau	Coral blue	designplus-1145	
H220L30C30	220°	30%	30%	Sandelholzblau	Sandalwood grey blue	designplus-1146	
H220L40C05	220°	40%	5%	Limousinengraublau	Limousine grey blue	designplus-1147	
H220L40C10	220°	40%	10%	Korundblau	Corundum blue	designplus-1148	
H220L40C15	220°	40%	15%	Kittelblau	Smock blue	designplus-1149	
H220L40C20	220°	40%	20%	Beizeblau	Mordant blue	designplus-1150	
H220L40C25	220°	40%	25%	Baumwollindigo	Cotton indigo	designplus-1151	
H220L40C30	220°	40%	30%	Fjordblau	Fjord blue	designplus-1152	
H220L40C35	220°	40%	35%	Azurgrünblau	Azure green blue	designplus-1153	
H220L40C40	220°	40%	40%	Cyanblau	Cyan blue	designplus-1154	
H220L50C05	220°	50%	5%	Winterwolkengrau	Winter could grey	designplus-1155	
H220L50C10	220°	50%	10%	Kadettgrau	Cadet grey	designplus-1156	
H220L50C15	220°	50%	15%	Holbeinblaugrau	Holbein blue grey	designplus-1157	
H220L50C20	220°	50%	20%	Schattenblau	Shady blue	designplus-1158	
H220L50C25	220°	50%	25%	Frescoblau	Fresco blue	designplus-1159	
H220L50C30	220°	50%	30%	Handwerkerblau	Craftsman blue	designplus-1160	
H220L50C35	220°	50%	35%	Markerblau	Marker blue	designplus-1161	
H220L50C40	220°	50%	40%	Spielzeugblau	Toy blue	designplus-1162	
H220L60C05	220°	60%	5%	Tiefseegrau	Deep sea grey	designplus-1163	
H220L60C10	220°	60%	10%	Kachelblau	Tile blue	designplus-1164	
H220L60C15	220°	60%	15%	Morgenblau	Morning blue	designplus-1165	
H220L60C20	220°	60%	20%	Frostblau	Frost blue	designplus-1166	
H220L60C25	220°	60%	25%	Sommertürkisblau	Summer turquoise blue	designplus-1167	
H220L60C30	220°	60%	30%	Fischerblau	Fischer blue	designplus-1168	
H220L60C35	220°	60%	35%	Planetblau	Planet blue	designplus-1169	
H220L60C40	220°	60%	40%	Januarblau	January blue	designplus-1170	
H220L70C05	220°	70%	5%	Temperiertgrau	Tempered grey	designplus-1171	
H220L70C10	220°	70%	10%	Mohairbleugrau	Mohair soft blue grey	designplus-1172	
H220L70C15	220°	70%	15%	Küchenblau	Kitchen blue	designplus-1173	
H220L70C20	220°	70%	20%	Gastronomieblau	Culinary blue	designplus-1174	
H220L70C25	220°	70%	25%	Blousonblau	Blouson blue	designplus-1175	
H220L70C30	220°	70%	30%	Gebirgsblau	Mountain range blue	designplus-1176	
H220L70C35	220°	70%	35%	Ferienblau	Holiday blue	designplus-1177	
H220L80C05	220°	80%	5%	Pastellblau	Pastel blue	designplus-1178	
H220L80C10	220°	80%	10%	Klinischbleu	Clinical soft blue	designplus-1179	
H220L80C15	220°	80%	15%	Kinderbleu	Children?s soft blue	designplus-1180	
H220L80C20	220°	80%	20%	Turmalinwasserblau	Tourmaline water blue	designplus-1181	
H220L80C25	220°	80%	25%	Frischblau	Fresh blue	designplus-1182	
H220L85C05	220°	85%	5%	Transparentbleu	Transparent blue	designplus-1183	
H220L85C10	220°	85%	10%	Eisscherbenbleu	Ice shard soft blue	designplus-1184	
H220L85C15	220°	85%	15%	Polarblau	Polar blue	designplus-1185	
H220L90C05	220°	90%	5%	Kaltlichtbleu	Cold soft blue	designplus-1186	
H220L90C10	220°	90%	10%	Vollmondgrau	Full moon grey	designplus-1187	
H230L20C10	230°	20%	10%	Erzblauschwarz	Ore bluish black	designplus-1188	
H230L20C15	230°	20%	15%	Firmamentblau	Firmanent blue	designplus-1189	
H230L20C20	230°	20%	20%	Preußischblau	Prussian blue	designplus-1190	
H230L30C10	230°	30%	10%	Galenitblau	Galenite blue	designplus-1191	
H230L30C15	230°	30%	15%	Beerenblaugrün	Berry blue green	designplus-1192	
H230L30C20	230°	30%	20%	Petroldunkelblau	Teal dark blue	designplus-1193	
H230L30C25	230°	30%	25%	Gewitterblau	Thunderstorm blue	designplus-1194	
H230L40C10	230°	40%	10%	Zapfengrünblau	Cone green blue	designplus-1195	
H230L40C15	230°	40%	15%	Wacholderbeerenblau	Juniper berry blue	designplus-1196	
H230L40C20	230°	40%	20%	Sterntauchertürkis	Loon turquoise	designplus-1197	
H230L40C25	230°	40%	25%	Werkstattblau	Workshop blue	designplus-1198	
H230L40C30	230°	40%	30%	Pilotenblau	Pilot blue	designplus-1199	
H230L40C35	230°	40%	35%	Tintenblau	Ink blue	designplus-1200	
H230L40C40	230°	40%	40%	Technoblau	Techno blue	designplus-1201	
H230L50C10	230°	50%	10%	Kiesgraublau	Gravel grey blue	designplus-1202	
H230L50C15	230°	50%	15%	Fichtenblau	Spruce blue	designplus-1203	
H230L50C20	230°	50%	20%	Freizeitblau	Casual blue	designplus-1204	
H230L50C25	230°	50%	25%	Vergissmeinnichtblau	Forget-me-not blue	designplus-1205	
H230L50C30	230°	50%	30%	Zirkonblau	Zircon blue	designplus-1206	
H230L50C35	230°	50%	35%	Lagunenblau	Lagoon blue	designplus-1207	
H230L50C40	230°	50%	40%	Azorenblau	Azores blue	designplus-1208	
H230L60C10	230°	60%	10%	Eisvogelgrau	Kingfisher grey	designplus-1209	
H230L60C15	230°	60%	15%	Silbertannenblau	Silver fir blue	designplus-1210	
H230L60C20	230°	60%	20%	Pyjamablau	Pyjama blue	designplus-1211	
H230L60C25	230°	60%	25%	Sternblütenblau	Starflower blue	designplus-1212	
H230L60C30	230°	60%	30%	Sportblau	Sports blue	designplus-1213	
H230L60C35	230°	60%	35%	Griechischblau	Greek blue	designplus-1214	
H230L60C40	230°	60%	40%	Alpenblau	Alpine blue	designplus-1215	
H230L70C10	230°	70%	10%	Eismövengraublau	Ice gull grey blue	designplus-1216	
H230L70C15	230°	70%	15%	Distelblütenbleu	Thistleblossom soft blue	designplus-1217	
H230L70C20	230°	70%	20%	Tennisblau	Tennis blue	designplus-1218	
H230L70C25	230°	70%	25%	Oldtimerblau	Vintage blue	designplus-1219	
H230L70C30	230°	70%	30%	Fitnessblau	Fitness blue	designplus-1220	
H230L80C10	230°	80%	10%	Bleichblau	Pallid blue	designplus-1221	
H230L80C15	230°	80%	15%	Alpenmorgenblau	Alpine morning blue	designplus-1222	
H230L80C20	230°	80%	20%	Hellblau	Light blue	designplus-1223	
H230L85C05	230°	85%	5%	Polarkaltbleu	Polar soft blue	designplus-1224	
H230L85C10	230°	85%	10%	Waschpulverweiß	Washing powder white	designplus-1225	
H230L85C15	230°	85%	15%	Himalayaweißblau	Himalaya white blue	designplus-1226	
H230L85C20	230°	85%	20%	Atmosphärenbleu	Atmospheric soft blue	designplus-1227	
H230L90C05	230°	90%	5%	Strahlendweiß	Brilliant white	designplus-1228	
H240L20C05	240°	20%	5%	Nachtschattenblau	Nightshade blue	designplus-1229	
H240L20C10	240°	20%	10%	Holunderschwarz	Elderberry black	designplus-1230	
H240L20C15	240°	20%	15%	Metallblau	Metal blue	designplus-1231	
H240L20C20	240°	20%	20%	Krähenbeerenblau	Crowberry blue	designplus-1232	
H240L20C22	240°	20%	22%	Sattblau	Rich blue	designplus-1233	
H240L30C05	240°	30%	5%	Diamantgrau	Diamond grey	designplus-1234	
H240L30C10	240°	30%	10%	Schmutzblau	Dirty blue	designplus-1235	
H240L30C15	240°	30%	15%	Tiefseeblau	Deep sea blue	designplus-1236	
H240L30C20	240°	30%	20%	Lasuritblau	Lasurite blue	designplus-1237	
H240L30C25	240°	30%	25%	Arbeitsblau	Work blue	designplus-1238	
H240L30C30	240°	30%	30%	Schmucksteinblau	Gemstone blue	designplus-1239	
H240L30C35	240°	30%	35%	Kapitänsblau	Captain blue	designplus-1240	
H240L40C05	240°	40%	5%	Blauanthrazit	Blue anthracite	designplus-1241	
H240L40C10	240°	40%	10%	Schwarzdornblau	Blackthorn blue	designplus-1242	
H240L40C15	240°	40%	15%	Celesteblau	Celeste blue	designplus-1243	
H240L40C20	240°	40%	20%	Jeansblau	Denim blue	designplus-1244	
H240L40C25	240°	40%	25%	Orientblau	Orient blue	designplus-1245	
H240L40C30	240°	40%	30%	Matrosenblau	Sailor blue	designplus-1246	
H240L40C35	240°	40%	35%	Steinblau	Stone blue	designplus-1247	
H240L40C40	240°	40%	40%	Reinbleu	Pure light blue	designplus-1248	
H240L50C05	240°	50%	5%	Rauchblau	Smoky blue	designplus-1249	
H240L50C10	240°	50%	10%	Werkzeugblau	Tool blue	designplus-1250	
H240L50C15	240°	50%	15%	Technikblau	Technical blue	designplus-1251	
H240L50C20	240°	50%	20%	Coelinblau	Coelin blue	designplus-1252	
H240L50C25	240°	50%	25%	Grönlandblau	Greenland blue	designplus-1253	
H240L50C30	240°	50%	30%	Sommerblau	Summer blue	designplus-1254	
H240L50C35	240°	50%	35%	Werbeblau	Advertising blue	designplus-1255	
H240L50C40	240°	50%	40%	Tuschblau	Tusche blue	designplus-1256	
H240L60C05	240°	60%	5%	Brieftaubenblau	Carrier pigeon blue	designplus-1257	
H240L60C10	240°	60%	10%	Vogelblau	Bird blue	designplus-1258	
H240L60C15	240°	60%	15%	Architekturblau	Architecture blue	designplus-1259	
H240L60C20	240°	60%	20%	Hemdblau	Shirt blue	designplus-1260	
H240L60C25	240°	60%	25%	Stahlhellblau	Steel light blue	designplus-1261	
H240L60C30	240°	60%	30%	Märchenblau	Fairytale blue	designplus-1262	
H240L60C35	240°	60%	35%	Prinzessblau	Princess blue	designplus-1263	
H240L60C40	240°	60%	40%	Klarblau	Clear blue	designplus-1264	
H240L70C05	240°	70%	5%	Wäscheblau	Laundry blue	designplus-1265	
H240L70C10	240°	70%	10%	Augenblau	Eye blue	designplus-1266	
H240L70C15	240°	70%	15%	Bermudablau	Bermuda blue	designplus-1267	
H240L70C20	240°	70%	20%	Meerblau	Sea blue	designplus-1268	
H240L70C25	240°	70%	25%	Madonnablau	Madonna blue	designplus-1269	
H240L70C30	240°	70%	30%	Karibikblau	Caribbean blue	designplus-1270	
H240L80C05	240°	80%	5%	Dunstblau	Hazy blue	designplus-1271	
H240L80C10	240°	80%	10%	Topashellbleu	Light topaz soft blue	designplus-1272	
H240L80C15	240°	80%	15%	Babyblau	Baby blue	designplus-1273	
H240L80C20	240°	80%	20%	Kristallblau	Crystal blue	designplus-1274	
H240L85C05	240°	85%	5%	Eisgrau	Ice grey	designplus-1275	
H240L85C10	240°	85%	10%	Luftblau	Air blue	designplus-1276	
H240L85C15	240°	85%	15%	Pariserblau	Paris blue	designplus-1277	
H240L90C05	240°	90%	5%	Bleuweiß	Soft blue white	designplus-1278	
H240L90C10	240°	90%	10%	Kalkbleu	Chalky blue white	designplus-1279	
H250L20C20	250°	20%	20%	Kosmosblau	Cosmos blue	designplus-1280	
H250L20C25	250°	20%	25%	Dunkeljeansblau	Dark denim blue	designplus-1281	
H250L30C15	250°	30%	15%	Schwarzwaldblau	Black Forest blue	designplus-1282	
H250L30C20	250°	30%	20%	Schwalbenblau	Swallow blue	designplus-1283	
H250L30C25	250°	30%	25%	Marinedunkelblau	Navy dark blue	designplus-1284	
H250L30C30	250°	30%	30%	Pompejiblau	Pompeii blue	designplus-1285	
H250L40C10	250°	40%	10%	Trekkingblau	Trekking blue	designplus-1286	
H250L40C15	250°	40%	15%	Stahlblaugrau	Steel blue grey	designplus-1287	
H250L40C20	250°	40%	20%	Beerenblau	Berry blue	designplus-1288	
H250L40C25	250°	40%	25%	Leinenblau	Linen blue	designplus-1289	
H250L40C30	250°	40%	30%	Poolblau	Pool blue	designplus-1290	
H250L40C35	250°	40%	35%	Eisvogelblau	Kingfisher blue	designplus-1291	
H250L40C40	250°	40%	40%	Europablau	Europe blue	designplus-1292	
H250L50C10	250°	50%	10%	Metallgrau	Metal grey	designplus-1293	
H250L50C15	250°	50%	15%	Titanblau	Titanium blue	designplus-1294	
H250L50C20	250°	50%	20%	Mallorcablau	Mallorca blue	designplus-1295	
H250L50C25	250°	50%	25%	Linoleumblau	Linoleum blue	designplus-1296	
H250L50C30	250°	50%	30%	Prominentblau	Prominent blue	designplus-1297	
H250L50C35	250°	50%	35%	Türkischblau	Turkish blue	designplus-1298	
H250L50C40	250°	50%	40%	Urblau	Primal blue	designplus-1299	
H250L60C10	250°	60%	10%	Vogelblaugrau	Bird blue grey	designplus-1300	
H250L60C15	250°	60%	15%	Sanftblau	Gentle blue	designplus-1301	
H250L60C20	250°	60%	20%	Aragonitblau	Aragonite blue	designplus-1302	
H250L60C25	250°	60%	25%	Perlblau	Pearl blue	designplus-1303	
H250L60C30	250°	60%	30%	Topasblau	Topaz blue	designplus-1304	
H250L60C35	250°	60%	35%	Stratosblau	Stratos blue	designplus-1305	
H250L60C40	250°	60%	40%	Bauwerkblau	Structural blue	designplus-1306	
H250L70C10	250°	70%	10%	Nebelblau	Foggy blue	designplus-1307	
H250L70C15	250°	70%	15%	Kreideblau	Chalk blue	designplus-1308	
H250L70C20	250°	70%	20%	Mittelblau	Medium blue	designplus-1309	
H250L70C25	250°	70%	25%	Wiesenblütenblau	Meadow blossom blue	designplus-1310	
H250L70C30	250°	70%	30%	Ginsterfalterblau	Broom butterfly blue	designplus-1311	
H250L80C10	250°	80%	10%	Hellcyan	Light cyan	designplus-1312	
H250L80C15	250°	80%	15%	Himalayablau	Himalaya blue	designplus-1313	
H250L80C20	250°	80%	20%	Samtblau	Velvet blue	designplus-1314	
H250L85C05	250°	85%	5%	Weißblau	White blue	designplus-1315	
H250L85C10	250°	85%	10%	Waschmittelbleu	Washing powder soft blue	designplus-1316	
H250L85C15	250°	85%	15%	Diamantbleu	Diamond soft blue	designplus-1317	
H250L90C05	250°	90%	5%	Eisweiß	Ice white	designplus-1318	
H260L20C05	260°	20%	5%	Blauschwarz	Blue-black	designplus-1319	
H260L20C10	260°	20%	10%	Natoblau	Nato blue	designplus-1320	
H260L20C15	260°	20%	15%	Anzugblau	Suit blue	designplus-1321	
H260L20C20	260°	20%	20%	Halitblau	Halite blue	designplus-1322	
H260L30C05	260°	30%	5%	Bergentengrau	Alpine duck grey	designplus-1323	
H260L30C10	260°	30%	10%	Bronzeblau	Bronze blue	designplus-1324	
H260L30C15	260°	30%	15%	Berlinerblau	Berlin blue	designplus-1325	
H260L30C20	260°	30%	20%	Frankreichblau	French blue	designplus-1326	
H260L30C25	260°	30%	25%	Tansanitblau	Tanzanite blue	designplus-1327	
H260L30C30	260°	30%	30%	Opalblau	Opal blue	designplus-1328	
H260L30C35	260°	30%	35%	Königsblau	Royal blue	designplus-1329	
H260L40C05	260°	40%	5%	Schwedenblau	Swedish blue	designplus-1330	
H260L40C10	260°	40%	10%	Schotenblau	Sheet blue	designplus-1331	
H260L40C15	260°	40%	15%	Zwetschgenblau	Plum blue	designplus-1332	
H260L40C20	260°	40%	20%	Kadettblau	Cadet blue	designplus-1333	
H260L40C25	260°	40%	25%	Emailleblau	Enamel blue	designplus-1334	
H260L40C30	260°	40%	30%	Kopenhagenerblau	Copenhagen blue	designplus-1335	
H260L40C35	260°	40%	35%	Bauhausblau	Bauhaus blue	designplus-1336	
H260L40C40	260°	40%	40%	Marineblau	Navy blue	designplus-1337	
H260L40C45	260°	40%	45%	LEDblau	LED blue	designplus-1338	
H260L50C05	260°	50%	5%	Spitzbergenblau	Spitsbergen blue	designplus-1339	
H260L50C10	260°	50%	10%	Zypressengraublau	Cypress grey blue	designplus-1340	
H260L50C15	260°	50%	15%	Mahonienbeerenblau	Mahonia berry blue	designplus-1341	
H260L50C20	260°	50%	20%	Kröpperblau	Cropper blue	designplus-1342	
H260L50C25	260°	50%	25%	Biedermeierblau	Biedermeier blue	designplus-1343	
H260L50C30	260°	50%	30%	Pekingblau	Beijing blue	designplus-1344	
H260L50C35	260°	50%	35%	Vermeerblau	Vermeer blue	designplus-1345	
H260L50C40	260°	50%	40%	Porzellanblau	Meissen blue	designplus-1346	
H260L60C05	260°	60%	5%	Seehundgrau	Seal grey	designplus-1347	
H260L60C10	260°	60%	10%	Diopsidblau	Diopside blue	designplus-1348	
H260L60C15	260°	60%	15%	Nordlandblau	Nordland blue	designplus-1349	
H260L60C20	260°	60%	20%	Moorbeerenblau	Cranberry blue	designplus-1350	
H260L60C25	260°	60%	25%	Lupinenblau	Lupine blue	designplus-1351	
H260L60C30	260°	60%	30%	Sadebeerenbleu	Blueberry soft blue	designplus-1352	
H260L60C35	260°	60%	35%	Leuchtendblau	Brilliant blue	designplus-1353	
H260L70C05	260°	70%	5%	Nordlichtgrau	Northern light grey	designplus-1354	
H260L70C10	260°	70%	10%	Sturmvogelblaugrau	Petrel blue grey	designplus-1355	
H260L70C15	260°	70%	15%	Nordlandhellblau	Nordland light blue	designplus-1356	
H260L70C20	260°	70%	20%	Mattblau	Matte blue	designplus-1357	
H260L70C25	260°	70%	25%	Pazifikblau	Pacific blue	designplus-1358	
H260L80C05	260°	80%	5%	Lichtblaugrau	Light blue grey	designplus-1359	
H260L80C10	260°	80%	10%	Puderbleu	Powder soft blue	designplus-1360	
H260L80C15	260°	80%	15%	Windblau	Wind blue	designplus-1361	
H260L85C05	260°	85%	5%	Satinweiß	Satin white	designplus-1362	
H260L85C10	260°	85%	10%	Meeresbrisengrün	Sea breeze green	designplus-1363	
H260L90C05	260°	90%	5%	Milchblau	Milk blue	designplus-1364	
H270L20C20	270°	20%	20%	Krähenschwarzblau	Crow black blue	designplus-1365	
H270L20C25	270°	20%	25%	Indigoschwarz	Indigo black	designplus-1366	
H270L20C29	270°	20%	29%	Kraftblau	Effervescent blue	designplus-1367	
H270L30C15	270°	30%	15%	Mitternachtsblau	Midnight blue	designplus-1368	
H270L30C20	270°	30%	20%	Dunkelblau	Dark blue	designplus-1369	
H270L30C25	270°	30%	25%	Traubenblau	Grape blue	designplus-1370	
H270L30C30	270°	30%	30%	Mediciblau	Medici blue	designplus-1371	
H270L30C35	270°	30%	35%	Kolibriblau	Kolibri blue	designplus-1372	
H270L30C40	270°	30%	40%	Prinzenblau	Prince blue	designplus-1373	
H270L40C15	270°	40%	15%	Zinngrau	Pewter grey	designplus-1374	
H270L40C20	270°	40%	20%	Salonblau	Parlour blue	designplus-1375	
H270L40C25	270°	40%	25%	Funktionsblau	Functional blue	designplus-1376	
H270L40C30	270°	40%	30%	Schminkblau	Make-up blue	designplus-1377	
H270L40C35	270°	40%	35%	Lapislazuliblau	Lapis lazuli blue	designplus-1378	
H270L40C40	270°	40%	40%	Zauberblau	Magic blue	designplus-1379	
H270L50C10	270°	50%	10%	Brokatblau	Brocade blue	designplus-1380	
H270L50C15	270°	50%	15%	Edelblau	Noble blue	designplus-1381	
H270L50C20	270°	50%	20%	Delfterblau	Delft blue	designplus-1382	
H270L50C25	270°	50%	25%	Cocktailblau	Cocktail blue	designplus-1383	
H270L50C30	270°	50%	30%	Salbeiblütenblau	Sage blossom blue	designplus-1384	
H270L50C35	270°	50%	35%	Wienerblau	Viennese blue	designplus-1385	
H270L50C40	270°	50%	40%	Kornblumenblau	Cornflower blue	designplus-1386	
H270L60C10	270°	60%	10%	Fantasiegrau	Fantasy grey	designplus-1387	
H270L60C15	270°	60%	15%	Fliederblau	Lilac blue	designplus-1388	
H270L60C20	270°	60%	20%	Lavendelblau	Lavender blue	designplus-1389	
H270L60C25	270°	60%	25%	Ritterspornblau	Delphinium blue	designplus-1390	
H270L60C30	270°	60%	30%	Lidschattenblau	Eyeshadow blue	designplus-1391	
