RAL 3003	Rubinrot	Ruby red	Rouge rubis	Rojo rubí	Rosso rubino	Robijnrood	classic-47	
RAL 3004	Purpurrot	Purple red	Rouge pourpre	Rojo púrpura	Rosso porpora	Purperrood	classic-48	
RAL 3005	Weinrot	Wine red	Rouge vin	Rojo vino	Rosso vino	Wijnrood	classic-49	
RAL 3007	Schwarzrot	Black red	Rouge noir	Rojo negruzco	Rosso nerastro	Zwartrood	classic-50	
RAL 3009	Oxidrot	Oxide red	Rouge oxyde	Rojo óxido	Rosso ossido	Oxyderood	classic-51	
RAL 3011	Braunrot	Brown red	Rouge brun	Rojo pardo	Rosso marrone	Bruinrood	classic-52	
RAL 3012	Beigerot	Beige red	Rouge beige	Rojo beige	Rosso beige	Beigerood	classic-53	
RAL 3013	Tomatenrot	Tomato red	Rouge tomate	Rojo tomate	Rosso pomodoro	Tomaatrood	classic-54	
RAL 3014	Altrosa	Antique pink	Vieux rose	Rojo viejo	Rosa antico	Oudroze	classic-55	
RAL 3015	Hellrosa	Light pink	Rose clair	Rosa claro	Rosa chiaro	Lichtroze	classic-56	
RAL 3016	Korallenrot	Coral red	Rouge corail	Rojo coral	Rosso corallo	Koraalrood	classic-57	
RAL 3017	Rosé	Rose	Rosé	Rosa	Rosato	Bleekrood	classic-58	
RAL 3018	Erdbeerrot	Strawberry red	Rouge fraise	Rojo fresa	Rosso fragola	Aardbeirood	classic-59	
RAL 3020	Verkehrsrot	Traffic red	Rouge signalisation	Rojo tráfico	Rosso traffico	Verkeersrood	classic-60	
RAL 3022	Lachsrot	Salmon pink	Rouge saumon	Rojo salmón	Rosso salmone	Zalmrood	classic-61	
RAL 3024	Leuchtrot	Luminous red	Rouge brillant	Rojo brillante	Rosso brillante	Briljantrood	classic-62	
RAL 3026	Leuchthellrot	Luminous bright red	Rouge clair brillant	Rojo claro brillante	Rosso chiaro brillante	Briljant lichtrood	classic-63	
RAL 3027	Himbeerrot	Raspberry red	Rouge framboise	Rojo frambuesa	Rosso lampone	Framboosrood	classic-64	
RAL 3028	Reinrot	Pure red	Rouge pu	Rojo puro	Rosso puro	Zuiver rood	classic-65	
RAL 3031	Orientrot	Orient red	Rouge oriental	Rojo oriente	Rosso oriente	Oriëntrood	classic-66	
RAL 3032	Perlrubinrot	Pearl ruby red	Rouge rubis nacré	Rojo rubí perlado	Rosso rubino perlato	Parelmoer donkerrood	classic-67	
RAL 3033	Perlrosa	Pearl pink	Rose nacré	Rosa perlado	Rosa perlato	Parelmoer lichtrood	classic-68	
RAL 4001	Rotlila	Red lilac	Lilas rouge	Rojo lila	Lilla rossastro	Roodlila	classic-69	
RAL 4002	Rotviolett	Red violet	Violet rouge	Rojo violeta	Viola rossastro	Roodpaars	classic-70	
RAL 4003	Erikaviolett	Heather violet	Violet bruyère	Violeta érica	Viola erica	Heidepaars	classic-71	
RAL 4004	Bordeauxviolett	Claret violet	Violet bordeaux	Burdeos	Viola bordeaux	Bordeuaxpaars	classic-72	
RAL 4005	Blaulila	Blue lilac	Lilas bleu	Lila azulado	Lilla bluastro	Blauwlila	classic-73	
RAL 4006	Verkehrspurpur	Traffic purple	Pourpre signalisation	Púrpurá tráfico	Porpora traffico	Verkeerspurper	classic-74	
RAL 4007	Purpurviolett	Purple violet	Violet pourpre	Violeta púrpura	Porpora violetto	Purperviolet	classic-75	
RAL 4008	Signalviolett	Signal violet	Violet de sécurité	Violeta señales	Violetto segnale	Signaalviolet	classic-76	
RAL 4009	Pastellviolett	Pastel violet	Violet pastel	Violeta pastel	Violetto pastello	Pastelviolet	classic-77	
RAL 4010	Telemagenta	Telemagenta	Telemagenta	Magenta tele	Tele Magenta	Telemagenta	classic-78	
RAL 4011	Perlviolett	Pearl violet	Violet nacré	Violeta perlado	Violetto perlato	Parelmoer donkerviolet	classic-79	
RAL 4012	Perlbrombeer	Pearl blackberry	Mûre nacré	Morado perlado	Mora perlato	Parelmoer lichtviolet	classic-80	
RAL 5000	Violettblau	Violet blue	Bleu violet	Azul violeta	Blu violaceo	Paarsblauw	classic-81	
RAL 5001	Grünblau	Green blue	Bleu vert	Azul verdoso	Blu verdastro	Groenblauw	classic-82	
RAL 5002	Ultramarinblau	Ultramarine blue	Bleu outremer	Azul ultramar	Blu oltremare	Ultramarijn blauw	classic-83	
RAL 5003	Saphirblau	Sapphire blue	Bleu saphir	Azul zafiro	Blu zaffiro	Saffierblauw	classic-84	
RAL 5004	Schwarzblau	Black blue	Bleu noir	Azul negruzco	Blu nerastro	Zwartblauw	classic-85	
RAL 5005	Signalblau	Signal blue	Bleu de sécurité	Azul señales	Blu segnale	Signaalblauw	classic-86	
RAL 5007	Brillantblau	Brilliant blue	Bleu brillant	Azul brillante	Blu brillante	Briljantblauw	classic-87	
RAL 5008	Graublau	Grey blue	Bleu gris	Azul grisáceo	Blu grigiastro	Grijsblauw	classic-88	
RAL 5009	Azurblau	Azure blue	Bleu azur	Azul azur	Blu azzurro	Azuurblauw	classic-89	
RAL 5010	Enzianblau	Gentian blue	Bleu gentiane	Azul genciana	Blu genziana	Gentiaanblauw	classic-90	
RAL 5011	Stahlblau	Steel blue	Bleu acier	Azul acero	Blu acciaio	Staalblauw	classic-91	
RAL 5012	Lichtblau	Light blue	Bleu clair	Azul luminoso	Blu luce	Lichtblauw	classic-92	
RAL 5013	Kobaltblau	Cobalt blue	Bleu cobalt	Azul cobalto	Blu cobalto	Kobaltblauw	classic-93	
RAL 5014	Taubenblau	Pigeon blue	Bleu pigeon	Azul colombino	Blu colomba	Duifblauw	classic-94	
RAL 5015	Himmelblau	Sky blue	Bleu ciel	Azul celeste	Blu cielo	Hemelsblauw	classic-95	
RAL 5017	Verkehrsblau	Traffic blue	Bleu signalisation	Azul tráfico	Blu traffico	Verkeersblauw	classic-96	
RAL 5018	Türkisblau	Turquoise blue	Bleu turquoise	Azul turquesa	Blu turchese	Turkooisblauw	classic-97	
RAL 5019	Capriblau	Capri blue	Bleu capri	Azul capri	Blu Capri	Capriblauw	classic-98	
