URL	ID	DE	EN	FR	ES	IT	NL
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-33.png	RAL 2002	Blutorange	Vermilion	Orangé sang	Naranja sanguineo	Arancio sanguigno	Vermiljoen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-34.png	RAL 2003	Pastellorange	Pastel orange	Orangé pastel	Naranja pálido	Arancio pastello	Pasteloranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-35.png	RAL 2004	Reinorange	Pure orange	Orangé pur	Naranja puro	Arancio puro	Zuiver oranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-36.png	RAL 2005	Leuchtorange	Luminous orange	Orangé brillant	Naranja brillante	Arancio brillante	Briljantoranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-37.png	RAL 2007	Leuchthell orange	Luminous bright orange	Orangé clair brillant	Naranja claro brillante	Arancio chiaro brillante	Briljant lichtoranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-38.png	RAL 2008	Hellrotorange	Bright red orange	Orangé rouge clair	Rojo claro anaranjado	Rosso arancio chiaro	Licht roodoranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-39.png	RAL 2009	Verkehrsorange	Traffic orange	Orangé signalisation	Naranja tráfico	Arancio traffico	Verkeersoranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-40.png	RAL 2010	Signalorange	Signal orange	Orangé de sécurité	Naranja señales	Arancio segnale	Signaaloranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-41.png	RAL 2011	Tieforange	Deep orange	Orangé foncé	Naranja intenso	Arancio profondo	Dieporanje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-42.png	RAL 2012	Lachsorange	Salmon orange	Orangé saumon	Naranja salmón	Arancio salmone	Zalmoranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-43.png	RAL 2013	Perlorange	Pearl orange	Orangé nacré	Naranja perlado	Arancio perlato	Parelmoer oranje
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-44.png	RAL 3000	Feuerrot	Flame red	Rouge feu	Rojo vivo	Rosso fuoco	Vuurrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-45.png	RAL 3001	Signalrot	Signal red	Rouge de sécurité	Rojo señales	Rosso segnale	Signaalrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-46.png	RAL 3002	Karminrot	Carmine red	Rouge carmin	Rojo carmin	Rosso carminio	Karmijnrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-47.png	RAL 3003	Rubinrot	Ruby red	Rouge rubis	Rojo rubí	Rosso rubino	Robijnrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-48.png	RAL 3004	Purpurrot	Purple red	Rouge pourpre	Rojo púrpura	Rosso porpora	Purperrood
